num_acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
202300000001,7,5,2023,2025-12-05 06:00:00,1,75,75101,2,4,2,7,Rue De Rivoli,48.866386,2.323471
202300000002,7,5,2023,2025-12-05 05:30:00,5,94,94080,2,1,3,6,Avenue De Paris,48.84547782,2.42868146
202300000003,7,5,2023,2025-12-05 20:50:00,1,94,94022,2,3,2,1,Avenue Du General Leclerc,48.7624,2.40655
202300000004,6,5,2023,2025-12-05 23:57:00,5,94,94078,2,1,3,5,Rue De Paris,48.73248432,2.44687575
202300000005,7,5,2023,2025-12-05 00:50:00,5,94,94068,2,2,3,3,56Bis Avenue Raspail,48.78581,2.49217
202300000006,7,5,2023,2025-12-05 18:10:00,1,94,94058,2,3,2,6,Avenue Gabriel Peri,48.83717,2.51361
202300000007,7,5,2023,2025-12-05 18:45:00,1,94,94076,2,1,2,4,185 Boulevard Maxime Gorki,48.78693219,2.36756095
202300000008,7,5,2023,2025-12-05 17:20:00,1,94,94011,2,2,3,1,Route De Stains / Rue Du Moulin Bateau,48.78238,2.4951
202300000009,7,5,2023,2025-12-05 18:50:00,1,94,94022,2,3,8,3,Avenue De La Republique,48.76240184,2.40690601
202300000010,7,5,2023,2025-12-05 18:20:00,1,94,94079,2,1,2,6,Boulevard De Friedberg,48.83266,2.54378
202300000011,7,5,2023,2025-12-05 12:15:00,1,95,95527,1,9,2,3,A3,48.9957224,2.51560628
202300000012,6,5,2023,2025-12-05 11:15:00,1,93,93051,2,3,8,3,Rue Du Docteur Vaillant / A4,48.83611,2.5646
202300000013,7,5,2023,2025-12-05 20:10:00,1,93,93030,2,1,2,2,Avenue Ambroise Croizat,48.95859534,2.4158147
202300000014,7,5,2023,2025-12-05 10:30:00,1,93,93013,2,6,1,6,Carrefour Lindbergh,48.94211,2.42916
202300000015,7,5,2023,2025-12-05 19:15:00,1,93,93010,2,1,2,2,Avenue Gallieni,48.90631671,2.48228681
202300000016,7,5,2023,2025-12-05 01:56:00,5,92,92050,2,2,3,3,Clemenceau Georges Avenue Ndeg Pair,48.88677185,2.20519647
202300000017,7,5,2023,2025-12-05 21:40:00,5,92,92007,2,9,2,3,Verdun (Rue De) Ndeg Pairs,48.802023,2.318006
202300000018,7,5,2023,2025-12-05 12:10:00,1,1,1383,1,3,3,1,D1083,46.086729,5.111266
